Varför?	Why?
Ursäkta mig ett ögonblick.	Excuse me one moment.
Ursäkta mig en sekund.	Excuse me one second.
Förklara det för mig.	Explain that to me.
Lämna mig inte ensam.	Don't leave me alone.
Du är väldigt vacker.	You're very beautiful.
Du ser tjock ut.	You look fat.
Har du en kopia?	Do you have a copy?
Han gjorde allt fotarbete.	He did all the legwork.
Det är verkligen överraskande.	That's really surprising.
Vi måste betala skatt.	We must pay taxes.
Sömnbrist påverkade sångarens uppträdande.	A lack of sleep affected the singer's performance.
Flygplan landar på flygplatser.	Airplanes land at airports.
Har de kommit än?	Have they arrived yet?
Säkerheten förhöjdes i staden.	Security was increased in the city.
Boken kostar fem dollar.	The book costs five dollars.
Boken föll på golvet.	The book fell to the floor.
Vi byggde ett sandslott.	We made a sand castle.
Kan Tatoeba hjälpa minoritetsspråk?	Can Tatoeba help minority languages?
Jag har en ätstörning.	I have an eating disorder.
Dessa fabriker förorenar miljön.	These factories are polluting the environment.
Tom fick en fortkörningsbot.	Tom got a speeding ticket.
Det finns ingen hastighetsbegränsning.	There's no speed limit.
Detta är deras hus.	This is their house.
Jag pratar inte tyska.	I don't speak German.
Min hund är vit.	My dog is white.
Det är varmt idag.	It's hot today.
Kommer du ihåg mig?	Do you remember me?
Föräldrar älskar sina barn.	Parents love their children.
Denna stol är ful.	This chair is ugly.
Han slipade en kniv.	He was sharpening a knife.
Vi dekorerade rummet själva.	We ourselves decorated the room.
Jag har bott här.	I have lived here.
Kärleken kommer så småningom.	Love will come with time.
Jag pratar inte japanska.	I don't speak Japanese.
Jag kan inte japanska.	I don't speak Japanese.
Ta det inte personligt.	Don't take it personally.
Företaget gick i konkurs.	The company went bankrupt.
Han är en poet.	He is a poet.
Brevets innehåll var hemligt.	The contents of the letter were secret.
Hej! Hur mår du?	Hi! How are you?
Var såg du henne?	Where did you see her?
Jag kan inte svenska.	I don't speak Swedish.
Vad gör han nu?	What is he doing now?
En flicka ringde mig.	A girl rang me.
Var är Britney Spears?	Where is Britney Spears?
Dina skor är här.	Your shoes are here.
Bob är min vän.	Bob is my friend.
Det regnade i går.	It rained yesterday.
Det förvånar mig inte.	It doesn't surprise me.
Plastfolie tillverkas av polyethylen.	Cling film is made from polyethylene.
Jag älskar min mamma.	I love my mum.
Jag är från Kyoto.	I'm from Kyoto.
Det kommer att regna.	It's going to rain.
Han kände sig trött.	He felt tired.
Flygplanet ankommer klockan åtta.	The plane gets in at eight o'clock.
Huset ligger vackert till.	The house is beautifully situated.
Föraren körde om bilen.	The driver overtook the car.
Jag måste gå nu.	I have to leave now.
Hon gillar inte fotboll.	She doesn't like soccer.
Jag har ingen katt.	I do not have a cat.
Vilken är din gitarr?	Which is your guitar?
Hoppas medan du lever!	Hope while you live.
Jag älskar att resa.	I love trips.
Jag hör till basebollaget.	I belong to the baseball team.
De byggde en bro.	They constructed a bridge.
Kan någon annan svara?	Can anybody else answer?
John byggde en bokhylla.	John built a bookcase.
Var är du nu?	Where are you now?
Det här är lätt.	This is easy.
Tack, jag förstår nu.	Thanks, I understand now.
Kan jag hjälpa dig?	Can I help you?
En kopp te, tack.	A cup of tea, please.
Lite smör och bröd.	Some bread and butter.
Greta går till ambassaden.	Greta is walking to the Embassy.
Du ska tala svenska.	You will speak Swedish.
Du kan förstå svenska.	You can understand Swedish.
Herr Berg hjälper dig.	Mr. Berg is helping you.
Hjälper du fröken Hansson?	Are you helping Miss Hansson?
Du vill hjälpa mig.	You want to help me.
Jag ska hjälpa dig.	I will help you.
Jag kommer till hotellet.	I'm coming to the hotel.
Jag ringer honom ikväll.	I'll call him tonight.
Gör som du vill.	Do as you like.
De gick mot porten.	They walked towards the gate.
Alla pojkar sprang iväg.	All the boys ran away.
Han pratade väldigt högt.	He spoke very loudly.
Jag cyklade enhjuling idag.	I rode a unicycle today.
Tom kan köra gaffeltruck.	Tom can operate a forklift.
Alla sittplatser var upptagna.	Every seat was full.
Han står på scenen.	He is standing on the stage.
Våren är min favoritårstid.	Spring is my favorite season.
Den är för liten.	It's too small.
Det är för litet.	It's too small.
Jag måste lämna dig.	I have to leave you.
Skrivbordet är av trä.	The desk is made of wood.
Var är Tom född?	Where was Tom born?
Apelsiner innehåller mycket C-vitamin.	Oranges contain a lot of vitamin C.
Mitt skägg växer snabbt.	My beard grows quickly.
Peking förändras så fort.	Beijing is changing so rapidly.
Får jag också komma?	Can I come too?
Jag spelar ofta volleyboll.	I play volleyball often.
Ta fram din plånbok.	Get out your wallet.
En lång tystnad följde.	A long silence followed.
Han erkände sina misstag.	He admitted his mistakes.
Soldaten uppgav sitt namn.	The soldier gave his name.
Vi bor nära stationen.	We live close to the station.
Förresten, spelar du fiol?	By the way, do you play the violin?
Det sade du inte.	You did not say so.
Kan du bevisa det?	Can you prove it?
Vi hoppas på fred.	We hope for peace.
Han skrev ner telefonnumret.	He wrote down the telephone number.
Tom dömde en konsttävling.	Tom was a judge in an art contest.
Jag försörjer min familj.	I provide for my family.
Är din mor hemma?	Is your mother at home?
Is smälter i vatten.	Ice melts in water.
Råttor förökar sig fort.	Rats breed rapidly.
Byggnaden totalförstördes i jordskalvet.	The building was totally destroyed by the earthquake.
Hunden grävde en grop.	The dog was digging a hole.
Mötet avslutades vid lunchtid.	The meeting came to an end at noon.
Skratt smittar av sig.	Laughter is infectious.
Men vad vill du?	But what do you want?
Dagarna blir allt längre.	The days are getting longer and longer.
Han blåste ut ljuset.	He blew out the candle.
Fysik är mitt favoritämne.	Physics is my favorite subject.
Hennes arm är gipsad.	She has her arm in a cast.
Jag återvände till Japan.	I returned to Japan.
Han lever i lyx.	He lives in luxury.
Kom när du vill.	Come whenever you like.
Vad vill du köpa?	What do you want to buy?
Jag är i bilen.	I'm in the car.
Jag är helt säker!	I'm absolutely sure!
Inte så mycket senap.	Easy on the mustard.
Jag stannar här tillsvidare.	I shall stay here for the time being.
Hjälp mig lyfta paketet.	Help me lift the package.
De såg efter pojken.	They looked after the boy.
Han viftade bort flugorna.	He flapped the flies away.
Han är min bror.	He is my brother.
De stod på rad.	They were standing in a row.
Jag hörde dörren stängas.	I heard the door close.
Storleken har ingen betydelse.	Size does not matter.
Jag vill dricka mjölk.	I want to drink milk.
Midori åt flest apelsiner.	Midori ate the most oranges.
Det tog hela kvällen.	It took all evening.
Efter söndag kommer måndag.	Sunday is followed by Monday.
Här är mitt kvitto.	Here's my receipt.
Se upp för ficktjuvar.	Look out for pickpockets.
Hissen verkar vara trasig.	The elevator seems to be out of order.
Han deltog i mötet.	He took part in the meeting.
Hon hade hjärtformade örhängen.	She wore heart-shaped earrings.
Snart är det vår.	It will be spring soon.
Jag drömde om honom.	I had a dream about him.
Det visste jag inte.	I didn't know that.
Planet har nyss lyft.	The plane has just taken off.
Varför är de här?	Why are they here?
Tack, det var allt.	Thanks, that's all.
Vi är inte amerikaner.	We are not Americans.
Hon såg ledsen ut.	She looked sad.
Hon kom jävligt sent.	She came damn late.
Han är min typ!	He is my type!
Och varför frågar du?	And why do you ask?
Jag vet egentligen inte.	I don't really know.
Jag vet inte riktigt.	I don't really know.
Du pratar för mycket.	You talk too much.
Alla verkar gilla golf.	It seems that everybody likes golf.
Lättare sagt än gjort.	Easier said than done.
Hunden vill gå ut.	The dog wants to go outside.
I morse klarnade det.	This morning it cleared up.
Pilla inte på såret.	Don't touch the wound.
Du måste inte äta.	You don't have to eat.
Jag är så lycklig!	How happy I am!
Han behöver en stege.	He needs a ladder.
Vart fan ska du?	Where the hell are you going?
Det saknas en gaffel.	There is a fork missing.
Hon böjde sig ner.	She bent down.
Tom samlade på kaffekoppar.	Tom collected coffee cups.
Han låg på rygg.	He was lying on his back.
Jag hittar inte Tim.	I can't find Tim.
De har något gemensamt.	They have something in common.
Hans fel var avsiktligt.	His mistake was intentional.
Jag kunde inte sova.	I couldn't sleep.
Jag behöver ett jobb.	I need a job.
När fick du konsertbiljetten?	When did you get the concert ticket?
Jag vill studera utomlands.	I want to study abroad.
Behöver jag någon medicin?	Do I need some kind of medication?
Prinsessan låg och blundade.	The princess lay with her eyes closed.
Jag är inte intresserad.	I am not interested.
Jag bor intill leksaksaffären.	I live next door to the toy shop.
Hon verkade inte intresserad.	She didn't seem interested.
Hon kanske inte kommer.	She may not come.
Har du någon legitimation?	Do you have any ID?
Var snäll mot henne.	Be nice to her.
Du är fortfarande ung.	You're still young.
Vi hinner med tåget.	We have enough time to catch the train.
Jag behöver skölja munnen.	I need to rinse my mouth.
Morfar pratar väldigt långsamt.	Grandfather speaks very slowly. (morfar = mother's father)
Farfar pratar väldigt långsamt.	Grandfather speaks very slowly. (farfar = father's father)
De stal min vinflaska!	They stole my wine bottle!
Jag är ingen morgonmänniska.	I am not a morning person.
Hennes engelska är utmärkt.	Her English is excellent.
Du dödar mig långsamt.	You are killing me slowly.
Ursäkta, vad är klockan?	Excuse me, what time is it?
Den här boken duger.	This book will do.
Han tycker om djur.	He loves animals.
Detta är en häst.	This is a horse.
De kommer från Sverige.	They come from Sweden.
Du kommer från Sverige.	You come from Sweden.
Jag kommer från Norge.	I am from Norway.
Jag ser ett hus.	I see a house.
Vilken frukt är röd?	What fruit is red?
Ett piano är dyrt.	A piano is expensive.
Var snäll mot andra.	Be nice to others.
Tro på dig själv.	Believe in yourself.
Det är en harpa.	It's a harp.
Vad kämpar du för?	What are you fighting for?
Jag blödde näsblod idag.	I had a nosebleed today.
Det är Babas röst.	It's Baba's voice.
Jag har fått nog.	I'm fed up.
Ge mig dina tankar.	Give me your thoughts.
De betedde sig underligt.	They were acting strangely.
De har tolv barn.	They have twelve children.
Hon måste hjälpa honom.	She needs to help him.
Du förstör alltid allting.	You always destroy everything.
Nej, jag gick ut.	No, I went out.
Allt är Toms fel.	It's all Tom's fault.
Explosionen skakade hela byggnaden.	The explosion shook the whole building.
Det här är löjligt!	This is ridiculous!
Tom somnade till slut.	Tom finally fell asleep.
Det ska snöa idag.	It'll snow today.
Staden grundades år 573.	The city was founded in 573.
Katten sov på bordet.	The cat slept on the table.
Hur lång är du?	How tall are you?
Huset är i brand.	The house is on fire.
Bill talar lite japanska.	Bill can speak a little Japanese.
Vi hade väldigt kul.	We enjoyed ourselves very much.
Välkommen till mitt liv.	Welcome to my life.
Han dricker för mycket.	He drinks too much.
Vilken är din favoritsnabbmatsrestaurang?	What's your favorite fast-food restaurant?
Gör vad du vill.	Do what you like.
Vad är ditt namn?	What's your name?
Varsågod och sitt ner.	Please sit down.
Min bror är lärare.	My brother is a teacher.
Tom är verkligen ledsen.	Tom is really sorry.
Han talar lite engelska.	He speaks a little English.
Vilken är nästa station?	What's the next station?
Skaffa dig ett liv.	Get a life.
Snabbmat kan vara beroendeframkallande.	Fast food can be addictive.
Han förnekade den uppgiften.	He denied that fact.
Vad gör du idag?	What're you doing today?
Han steg på tåget.	He got on the train.
Jag hade det besvärligt.	I had a hard time.
Tom gav inte upp.	Tom didn't give up.
Det är min bok.	The book is mine.
Slåss som en man!	Fight like a man!
Tåget avgick i tid.	The train left the station on time.
Du frågar fel person.	You're asking the wrong person.
Jag ringer min man.	I'll call my husband.
Han kallades att vittna.	He was called to give evidence.
Du borde rensa ogräset.	You should get rid of these weeds.
Jag glömde mina bilnycklar.	I have left my car keys behind.
Ge inte upp halvvägs.	Don't give up halfway.
Polisen lyckades hitta brottslingen.	The police were able to find the criminal.
Hon har en bild.	She has a picture.
Vi lyssnar med öronen.	We hear with our ears.
Vilket märke gillar du?	Which brand do you prefer?
Skriver de ett brev?	Are they writing a letter?
Peka inte på andra.	Don't point at others.
Tom gjorde många misstag.	Tom made many mistakes.
Hon hörde honom sjunga.	She heard him sing.
Jag har blivit bättre.	I've gotten better.
Ah, föraren är galen.	Oh, the driver is a maniac.
Ingen sprang före honom.	No one ran ahead of him.
Tom har inget lokalsinne.	Tom has no sense of direction.
Lätt gånget lätt förgånget.	That which is easily acquired is easily lost.
Tiden läker alla sår.	Time heals all wounds.
Hon bor i London.	She is living in London.
Jag kan inte röka.	I can't smoke.
Han drunknade i floden.	He drowned in the river.
Hon är vår granne.	She's our neighbour.
Vad vill du dricka?	What do you want to drink?
Jag mår bra, tack.	I'm fine, thank you.
Jag måste skynda mig!	I have to hurry!
Han är en hjälte.	He is a hero.
Mary gillar att festa.	Mary likes to party.
Mary försökte trösta Tom.	Mary tried to comfort Tom.
Jag beställde nya möbler.	I ordered new furniture.
Vad pratar hon om?	What is she talking about?
Han emigrerade till Australien.	He emigrated to Australia.
Allt var väldigt bra.	Everything was very good.
Posta det här brevet.	Mail this letter.
Vi har inget socker.	We have no sugar.
Mitt sommarlov är över.	My summer vacation is over.
Tom är verkligen snål.	Tom certainly is greedy.
Klockan är redan elva.	It's already eleven.
Jag kommer förklara incidenten.	I'll explain the incident.
Han älskar att resa.	He loves traveling.
Min cykel behöver lagas.	My bicycle needs to be repaired.
Vi behöver fler arbetare.	We need more workers.
Hon var på brottsplatsen.	She was at the scene of the crime.
Det är ingen leksak!	It's not a toy!
Jag känner mig gammal.	I feel old.
Jag har två döttrar.	I have two daughters.
Columbus upptäckte Amerika 1492.	Columbus discovered America in 1492.
Vilken är din favoritprotestsång?	What's your favorite protest song?
Han längtar efter stadsliv.	He is longing for city life.
Kom du med tåget?	Did you come by train?
Han måste älska dig.	He must love you.
Tom har tre onklar.	Tom has three uncles.
Jag talar inte kinesiska.	I don't speak Chinese.
Jag tar den gula.	I'll take the yellow one.
Låna aldrig en bil.	Never borrow a car.
Här kommer vår lärare.	Here comes our teacher.
Harry är bara 40.	Harry is only 40.
Välkommen hem till oss!	Welcome to our home!
Välkomna hem till oss!	Welcome to our home! (plural)
Alla pratade om det.	Everyone talked about it.
Du är guld värd.	You're worth gold.
Jag kunde hjälpa henne.	I was able to help her.
Han är på tåget.	He's on the train.
Alice har fantastiska ben.	Alice has stunning legs.
Mina skor måste lagas.	My shoes will have to be mended.
Varför kommer hon inte?	Why does she not come?
Jag behöver en cigarett.	I need a smoke.
Jag tar en promenad.	I'm going for a walk.
Kan du släcka stearinljusen?	Would you put out the candles?
Han valdes till president.	He was elected president.
Mina läppar är förseglade.	My lips are sealed.
Här kan ni röka.	You can smoke here.
Det är hans julklapp.	It's his Christmas present.
Han lastade ur bilen.	He unloaded the car.
Hon stängde försiktigt ytterdörren.	He closed the front door&nbsp;carefully.
De gick uppför trappan.	They went up the stairs.
Jag talar inte japanska.	I don't speak Japanese.
Tom är inte här.	Tom is absent.
Du har två bollar.	You have two balls.
Du har två kulor.	You have two balls.
Kenya blev självständigt 1963.	Kenya became independent in 1963.
Vad är populärt nu?	What is popular now?
Vad är inne nu?	What is popular now?
Varför var du där?	Why were you there?
Stjärnorna blinkade på himlen.	The stars were twinkling in the sky.
Får jag gå nu?	Can I leave now?
Min mor är ute.	My mother is out.
Jag kan spela gitarr.	I can play the guitar.
Vad gör din son?	What does your son do?
Vi har tre flygplan.	We have three airplanes.
Jag blöder om knät.	My knee is bleeding.
Vi är hans söner.	We are his sons.
Kan du hjälpa mig?	Can you help me?
Nej, jag är engelsk.	No, I am English.
Tom skrattade åt Mary.	Tom laughed at Mary.
Hur var din dag?	How was your day?
Varför gjorde han så?	Why did he do that?
Han förstår er inte.	He doesn't understand you.
Han hade få tänder.	He had few teeth.
Det är min fru.	That's my wife.
Sann kärlek existerar inte.	True love doesn't exist!
Det är för varmt.	It's too hot.
Så blå himlen är!	How blue the sky is!
Hur var din kväll?	How was your night?
Vi hyrde en lägenhet.	We rented an apartment.
Han blir sällan arg.	It is rare for him to get angry.
Han har redan gått.	He's already left.
Jag kom från Kina.	I came from China.
Jag beundrade hans generositet.	I had great admiration for his generosity.
Hon är min fru.	She's my wife.
Vem uppfanns telefonen av?	Who invented the telephone?
Jag var väldigt glad.	I was very happy.
Kinesisk filosofi är bäst.	Chinese philosophy is the best.
Du är en idiot.	You're an idiot.
Jag skriver ett brev.	I'm writing a letter.
Jag hjälper dig gärna.	I will gladly help you.
Hur gick din intervju?	How did your interview go?
Du är i vägen.	You are in my way.
Du ser dum ut.	You look stupid.
Kan jag använda telefonen?	May I use the telephone?
Vänta på din tur.	Wait until your turn comes.
Är det där franska?	Is that French?
Jag vill förändra världen.	I want to change the world.
Tom ligger på backen.	Tom is lying on the ground.
Tom ligger i sängen.	Tom is lying in bed.
Du berättar inte sanningen.	You're not telling the truth.
Han känner många människor.	He knows a lot of people.
Jag har ingen vodka.	I don't have vodka.
När ska skeppet anlända?	When is the ship due to arrive?
Varför läser jag isländska?	Why am I studying Icelandic?
Jag ska skjuta honom.	I'm gonna shoot him.
Jag vill inte tillbaka.	I don't wanna go back.
Kriget tog slut 1945.	The war ended in 1945.
Var är min tidning?	Where is my newspaper?
Kom prick klockan tio.	Come at ten o'clock sharp.
Han tog sin tid.	He took his time.
Var är skeppet nu?	Where is the ship now?
Jag behöver dessa pengar.	I need this money.
Är det något särskilt?	Is there something in particular?
Hon älskar honom fortfarande.	She still loves him.
Någon tappade en plånbok.	Someone lost a wallet.
Har du tappat vettet?	Have you lost your reason?
Jag skriver en roman.	I am writing a novel.
Hur såg rånaren ut?	What did the robber look like?
Vad skrev du igår?	What did you write yesterday?
Han satt i stolen.	He sat in the chair.
Detta används fortfarande dagligen.	This is still in daily use.
Jag ska strax gå.	I'm about to leave.
Jag önskar bara hjälpa.	I only wish to help.
Hon går sällan ut.	She seldom goes out.
Tom stängde av tv:n.	Tom turned off the TV.
Grönt står för hopp.	Green stands for hope.
Hon är en ängel.	She's an angel.
Amerika har femtio stater.	There are fifty states in America.
Det är dödligt gift!	It's a deadly poison!
Jag har en flickvän.	I have a girlfriend.
Jag blev Toms vän.	I became Tom's friend.
Mina planer misslyckades rejält.	My plans failed miserably.
Regeringens politik misslyckades kapitalt.	The government's politics failed miserably.
Mina planer misslyckades kapitalt.	My plans failed miserably.
Jag är Toms vän.	I'm Tom's friend.
Jag saknar mina vänner.	I miss my friends.
Jag är Marys pojkvän.	I'm Mary's boyfriend.
Vad skrattar du åt?	What are you laughing at?
Jag är ingen häxa.	I am not a witch.
Är det där Tom?	Is that Tom?
Vem väntar du på?	Who are you waiting for?
Jag är ingen nazist.	I'm not a Nazi!
Jag värdesätter vår vänskap.	I value our friendship.
Ditt problem liknar mitt.	Your problem is similar to mine.
Jag var på bio.	I was at a movie theater.
Han har en Toyota.	He has a Toyota.
Han behöll hatten på.	He kept his hat on.
När kom Susana tillbaka?	When did Susana get back?
Vår lärare skrattar sällan.	Our teacher seldom laughs.
Bilen förbrukar mycket bränsle.	The car consumes a lot of fuel.
Jag kommer börja gråta!	I am about to cry!
Någon förstörde min kamera.	Someone broke my camera.
Visade hon dig bilden?	Did she show you the picture?
Visade han dig bilden?	Did he show you the picture?
Är inte det planen?	Isn't that the plan?
Han reste under täcknamn.	He travelled under an assumed name.
De kämpade för religionsfrihet.	They fought for freedom of religion.
Vad är Finlands huvudstad?	What's the capital city of Finland?
Tom bär sällan hatt.	Tom rarely wears a hat.
Vänta. Skjut inte än.	Wait. Don't shoot yet.
Du missbrukar dina maktbefogenheter.	You are abusing your authority.
Din hund är här.	Your dog is here.
Er hund är här.	Your dog is here.
Vad kostar en öl?	How much does a beer cost?
Han gillar indisk mat.	He likes Indian food.
Prata aldrig med främlingar.	Never talk to strangers.
Har du dina biljetter?	Have you got your tickets?
Detta är väldigt lätt.	This is very easy.
Min hund bet Tom.	My dog bit Tom.
Vem röstade du på?	Who did you vote for?
John tände en tändsticka.	John lit a match.
Jag sov väldigt bra.	I slept very well.
Jag tvättade min T-shirt.	I washed my T-shirt.
Sa verkligen Tom det?	Did Tom actually say that?
Trodde du verkligen det?	Did you actually believe that?
Läste du verkligen det?	Did you actually read that?
Såg du verkligen Tom?	Did you actually see Tom?
Jag jobbar faktiskt här.	I actually work here.
Tom gillar faktiskt Mary.	Tom actually likes Mary.
Öppna inte lådan än.	Don't open the box yet.
Öppna inte presenten än.	Don't open the present yet.
Varför svarar du inte?	Why don't you answer?
Du kanske har rätt.	You may be correct.
Det var väldigt roligt.	It was very funny.
Det var riktigt roligt.	It was really funny.
Det var hemskt roligt.	It was awfully funny.
Det var extremt roligt.	It was extremely funny.
Det var ganska roligt.	It was fairly funny.
Det var nästan roligt.	It was almost funny.
Rummet har två fönster.	The room has two windows.
Damen är över åttio.	The lady is over eighty.
Fyll flaskan med vatten.	Fill the bottle with water.
Sjukhuset öppnade förra månaden.	The hospital opened last month.
Isen är väldigt tjock.	The ice is very thick.
Planet flög över Fuji.	The plane flew over Mt. Fuji.
Dörren är öppen nu.	The door is open now.
Lådan är nästan tom.	The box is almost empty.
Lådan var nästan full.	The box was almost full.
Lägg ingenting på lådan.	Don't put anything on top of the box.
Vad finns i lådan?	What's in the box?
Jag behöver mer tid.	I need more time.
Hon är ganska söt.	She's kind of pretty.
Gillar du sött te?	Do you like sweet tea?
Jag ställde inga frågor.	I didn't ask any questions.
Ingen står över lagen.	No one is above the law.
Ha det så roligt.	Have fun.
Mina ögon är ömma.	My eyes are sore.
Var gör det ont?	Where does it hurt?
Jag gillar den personen.	I like that person.
Var är ditt rum?	Where is your room?
Vart ska vi gå?	Where should we go?
Tom har många talanger.	Tom has many talents.
Tom slog ner honom.	Tom knocked him down.
Gå inte nära hunden.	Don't go near the dog.
Marias hår är långt.	Maria's hair is long.
Min katt dog igår.	My cat died yesterday.
Var är Toms klassrum?	Where is Tom's classroom?
Jag kan åka skidor.	I can ski.
Jag är en människa.	I'm a human.
Han har en bil.	He has a car.
Jag har en penna.	I have a pen.
Det är min cd.	It's my CD.
Snälla ta det lugnt.	Please relax.
Snälla lugna ner dig.	Please relax.
Jag tror på dig.	I believe you.
Jag såg ett flygplan.	I saw a plane.
Jag sålde en bok.	I sold a book.
Jag är så mätt.	I'm so full.
Det är mitt jobb.	It's my job.
Får jag gå hem?	May I go home?
Hon ser ledsen ut.	She looks sad.
Kommer hon att komma?	Will she come?
Du ser upptagen ut.	You look busy.
Du ser sjuk ut.	You look sick.
Min fru slår mig.	My wife beats me.
Hellre död än röd.	I'd rather be dead than red.
Kommer du hit ofta?	Do you come here often?
Driver du med mig?	You have got to be kidding me.
Ge det till henne.	Give it to her.
Han ser ung ut.	He looks young.
Jag åt för mycket.	I ate too much.
Jag bryr mig inte.	I don't care.
Jag måste köpa en.	I must buy one.
Jag såg henne simma.	I saw her swim.
Jag är upptagen nu.	I'm busy now.
Jag är så lycklig.	I'm so happy.
Hon är ute nu.	She is out now.
Ta tid på dig.	Take your time.
Detta är min bil.	This is my car.
Tom ser blek ut.	Tom looks pale.
Vem förstörde det här?	Who broke this?
Tråkar jag ut dig?	Am I boring you?
Skämta inte med mig!	Don't kid me!
Känner du igen honom?	Do you recognize him?
Har han kommit än?	Has he come yet?
Han har gått ut.	He has gone out.
Han har tio kor.	He has ten cows.
Han gillar att springa.	He likes to run.
Hur mår din pappa?	How is your dad?
Jag köpte en bok.	I bought a book.
Jag har två bilar.	I have two cars.
Jag bor i Japan.	I live in Japan.
Jag brukade spela tennis.	I used to play tennis.
Jag springer varje dag.	I run every day.
Jag joggar varje dag.	I run every day.
Jag är väldigt upptagen.	I'm very busy.
Det är för högt.	It's too loud.
Den är för stor.	It's too big.
Den är väldigt stor.	It's very big.
Hörde du det där?	Did you hear that?
Hugg tag i Tom.	Grab Tom.
Gift dig med mig.	Marry me.
Låt mig hjälpa till.	Let me help.
Ser jag OK ut?	Do I look OK?
Ta dig ett glas.	Have a drink.
Han är så söt.	He's so cute.
Jag ska betala dig.	I'll pay you.
Hon tyckte om det.	She liked it.
Tom ryckte på axlarna.	Tom shrugged.
Vi kommer väl överens.	We get on OK.
Gjorde jag det där?	Did I do that?
Vet Tom om det?	Does Tom know?
Gör inte det här.	Don't do this.
Hur illa är det?	How bad is it?
Jag kan inte dansa.	I can't dance.
Jag berättar för dig.	I'll tell you.
Jag är bara lat.	I'm just lazy.
Det är en plan.	That's a plan.
Det här är konstigt.	This is weird.
Det här är underligt.	This is weird.
Tom är inte rolig.	Tom is no fun.
Tom släppte in mig.	Tom let me in.
Vi kan inte misslyckas.	We can't fail.
Vad ska vi göra?	What'll we do?
Du är inte rolig.	You're no fun.
Kommer jag att dö?	Am I going to die?
Kan jag sitta ned?	Can I sit down?
Spelar det någon roll?	Does it matter?
Bryr du dig inte?	Don't you care?
Hur illa var det?	How bad was it?
Hur dåligt var det?	How bad was it?
Hur kan jag hjälpa?	How can I help?
Jag ringde i förväg.	I called ahead.
Jag kan hjälpa dig.	I can help you.
Jag gjorde det inte.	I didn't do it.
Jag träffade honom precis.	I just met him.
Jag behöver min jacka.	I need my coat.
Jag ska betala extra.	I'll pay extra.
Jag ska skjuta dig.	I'll shoot you.
Jag älskar ditt hår.	I love your hair.
Jag tar aldrig sovmorgon.	I never sleep in.
Jag föredrar att gå.	I prefer to walk.
Jag är hos Tom.	I'll be at Tom's.
Jag ska kolla igen.	I'll check again.
Jag hämtar mina nycklar.	I'll get my keys.
Jag ska hämta nycklarna.	I'll get my keys.
Jag ska hämta bilen.	I'll get the car.
Jag följer med dig.	I'll go with you.
Jag hämtar upp Tom.	I'll pick Tom up.
Jag pratar med Tom.	I'll talk to Tom.
Jag är redan rik.	I'm already rich.
Jag kommer att försöka.	I'm going to try.
Jag är på vinden.	I'm in the attic.
Jag är ingen tiggare.	I'm not a beggar.
Det är din rättighet.	It is your right.
Ta hand om Tom.	Take care of Tom.
De kommer med undanflykter.	They're stalling.
Detta är inte rätt.	This isn't right.
Det här stämmer inte.	This isn't right.
Tom frågade ut mig.	Tom asked me out.
Tom åt sig mätt.	Tom ate his fill.
Jag är precis här.	I'm right here.
Låt mig hämta Tom.	Let me get Tom.
De där är trevliga.	Those are nice.
De där är fina.	Those are nice.
Tom kan inte komma.	Tom can't come.
Tom kan inte stanna.	Tom can't stay.
Tom kan inte gå.	Tom can't walk.
Tom är ett äckel.	Tom is a creep.
Tom är en hippie.	Tom is a hippy.
Tom är min hjälte.	Tom is my hero.
Hon är inte gift.	She isn't married.
Hon ville hjälpa&nbsp;de.	She wanted to help them.
Du luktar så gott.	You smell so nice.
Svaret är helt fel.	The answer is completely wrong.
Jag svettades under armarna.	I perspired under the arms.
Tom är inte död.	Tom isn't dead.
Tom ser sjuk ut.	Tom looks sick.
Vad är de där?	What are those?
Hur ser den ut?	What's it like?
Var är mitt te?	Where's my tea?
Vem skulle bry sig?	Who would care?
Vem är på vakt?	Who's on watch?
Kan Tom hjälpa oss?	Can Tom help us?
Varför ge&nbsp;de&nbsp;någonting?	Why give them anything?
Varför frågar du det?	Why would you ask that?
Tyckte du om matchen?	Did you enjoy the game?
Tyckte du om föreställningen?	Did you enjoy the show?
Tyckte du om rundturen?	Did you enjoy the tour?
Jag luktar med näsan.	I smell with my nose.
Gjorde du det här?	Did you do this?
Tvivlar du på mig?	Do you doubt me?
Känner du till Tom?	Do you know Tom?
Tycker du om Tom?	Do you like Tom?
Hur mår du nu?	How are you now?
Jag kan inte tävla.	I can't compete.
Jag kan inte låtsas.	I can't fake it.
Jag hatar min röst.	I hate my voice.
Jag hörde ett ljud.	I heard a noise.
Jag hittade den precis.	I just found it.
Jag kan allt detta.	I know all this.
Jag vet allt detta.	I know all this.
Jag gillar din hund.	I like your dog.
Jag gillar din hatt.	I like your hat.
Jag älskar detta jobb.	I love this job.
Jag älskar er båda.	I love you both.
Jag gjorde den där.	I made that one.
Jag saknar dig, Tom.	I miss you, Tom.
Jag behöver en advokat.	I need a lawyer.
Jag behöver dig här.	I need you here.
Jag såg dig aldrig.	I never saw you.
Jag såg aldrig dig.	I never saw you.
Jag skickade iväg Tom.	I sent Tom away.
Jag skickade hem Tom.	I sent Tom home.
Jag pratade med Tom.	I talked to Tom.
Jag talade med Tom.	I talked to Tom.
Hon är min typ.	She's my type.
